审核项目名称,文件清单,文件路径,对应部门,通过标准,检测关键字,检测方式,调用模型,提示词,备注,父记录,需要修复
关企联系合作机制,历年关务任命书,一、内部控制标准/1.关企沟通联系合作/1-1 关企联系合作机制,人事,需要上传关企联系合作机制文件，AI检测第一页包括“关企联系工作”或“关企联系合作机制”即为通过,“关企联系工作”或“关企联系合作机制”,上传即为通过,,,,,否
岗位职责,组织架构图,一、内部控制标准/1.关企沟通联系合作/1-2 岗位职责,人事,上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,公司员工手册,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,员工清单,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,员工入职离职流程,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
新员工&安全敏感岗位背调,新进员工背调文件夹,四、贸易安全标准/12.人员安全/12-39 新员工&安全敏感岗位背调,人事,上传新入职员工背调信息表文件，以及安全敏感岗位员工的无犯罪记录证明，上传即通过,,上传即为通过,,,,,否
新员工&安全敏感岗位背调,敏感岗位无犯罪记录证明文件夹,四、贸易安全标准/12.人员安全/12-39 新员工&安全敏感岗位背调,人事,上传新入职员工背调信息表文件，以及安全敏感岗位员工的无犯罪记录证明，上传即通过,,上传即为通过,,,,,否
员工身份识别和离职员工取消授权,公司员工手册,四、贸易安全标准/12.人员安全/12-40 员工身份识别和离职员工取消授权,人事,上传包含对应要求的员工手册和离职交接记录抽查文件，上传即为通过,,上传即为通过,,,,,否
员工身份识别和离职员工取消授权,离职备忘&离职记录抽查文件夹,四、贸易安全标准/12.人员安全/12-40 员工身份识别和离职员工取消授权,人事,上传包含对应要求的员工手册和离职交接记录抽查文件，上传即为通过,,上传即为通过,,,,,否
访客进出登记管理,制度文件夹,四、贸易安全标准/12.人员安全/12-41 访客进出登记管理,人事,上传包含相关规定的仓库安全管理手册、员工手册制度文件，以及仓库来访登记记录抽查文件，上传即为通过,,上传即为通过,,,,,否
访客进出登记管理,登记记录抽查文件夹,四、贸易安全标准/12.人员安全/12-41 访客进出登记管理,人事,上传包含相关规定的仓库安全管理手册、员工手册制度文件，以及仓库来访登记记录抽查文件，上传即为通过,,上传即为通过,,,,,否
制度,仓库安全管理手册,四、贸易安全标准/12.人员安全/12-41 访客进出登记管理/12-41-1 制度,人事,上传包含相关规定的仓库安全管理手册、员工手册制度文件，以及仓库来访登记记录抽查文件，上传即为通过,,上传即为通过,,,,,否
制度,员工手册实施细则,四、贸易安全标准/12.人员安全/12-41 访客进出登记管理/12-41-1 制度,人事,上传包含相关规定的仓库安全管理手册、员工手册制度文件，以及仓库来访登记记录抽查文件，上传即为通过,,上传即为通过,,,,,否
系统抽查记录,历年系统抽查记录文件夹,一、内部控制标准/3.信息系统/3-7 信息系统说明/3-7-2 系统抽查记录,行政,上传内部相关信息系统的操作手册，例如仓储系统、财务系统等，AI检测首页包含“操作手册”、“操作说明”内容即为通过,,上传即为通过,,,,,否
系统抽查记录,历年仓储系统各类截图（含预警、报错、查询、入库信息等）,一、内部控制标准/3.信息系统/3-7 信息系统说明/3-7-2 系统抽查记录/2020-2021,行政,上传内部相关信息系统的操作手册，例如仓储系统、财务系统等，AI检测首页包含“操作手册”、“操作说明”内容即为通过,,上传即为通过,,,,,否
数据保留3年截图,历年数据保留情况截图,一、内部控制标准/3.信息系统/3-8 系统数据的保管/3-8-2 数据保留3年截图,行政,上传IT信息安全管理手册制度文件以及电子数据库留存三年的截图，信息安全管理手册前2页内容包括“信息安全管理”即为通过,,上传即为通过,,,,,否
记录,历年机房门禁记录,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-2 记录,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,,上传即为通过,,,,,否
记录,历年杀毒软件截图,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-2 记录,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,,上传即为通过,,,,,否
记录,历年密码到期修改截图,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-2 记录,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,,上传即为通过,,,,,否
记录,密码定期修改策略,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-2 记录,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,,上传即为通过,,,,,否
进出口单证保管制度,AEO证书保管照片(文件),一、内部控制标准/2.进出口单证/2-4 进出口单证保管制度,关务,上传即为通过,-,上传即为通过,,,,,否
进出口单证保管制度,抽查单证(文件夹),一、内部控制标准/2.进出口单证/2-4 进出口单证保管制度,关务,分别上传对应年份纸质和电子单证归档管理制度文件，首页识别包含“电子单证归档管理”内容，即为通过,,上传即为通过,,,,,否
企业认证电子资料档案,企业认证电子资料档案(文件夹),一、内部控制标准/2.进出口单证/2-6 企业认证电子资料档案,关务,上传对应年份AEO认证材料分文件夹整理归类目录的截图文件，上传即为通过,,上传即为通过,,,,,否
遵守法律法规,法律法规相关文件文件夹,三、守法规范标准/6.遵守法律法规,关务,上传历年进出口报关单文件，上传即为通过,,上传即为通过,,,,,否
制度,历年人力资源管理程序,四、贸易安全标准/16.海关业务和贸易安全培训/16-59 海关法律法规培训/16-59-1 制度,关务,上传包括相关要求的人力资源管理制度文件，上传即为通过,,上传即为通过,,,,,否
培训计划,历年年度培训计划,四、贸易安全标准/16.海关业务和贸易安全培训/16-58 法律法规和贸易安全内部培训制度/16-58-2 培训计划,关务,上传包括相关要求的人力资源管理制度文件，上传即为通过,,上传即为通过,,,,,否
制度,历年人力资源管理程序,四、贸易安全标准/16.海关业务和贸易安全培训/16-59 海关法律法规培训/16-59-1 制度,关务,上传包括相关要求的人力资源管理制度文件和每年至少2次的培训记录文件，上传即为通过,,上传即为通过,,,,,否
培训记录,历年海关法律法规培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-59 海关法律法规培训/16-59-2 培训记录,关务,上传包括相关要求的人力资源管理制度文件和每年至少2次的培训记录文件，上传即为通过,,上传即为通过,,,,,否
制度,历年仓库安全管理手册,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-1 制度,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
制度,运输部操作规范,四、贸易安全标准/13.货物、物品安全/13-47 装运和接收货物物品/13-47-1 制度,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
培训记录,运输安全培训文件夹,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-2 培训记录,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
培训记录,仓库安全培训文件夹,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-2 培训记录,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
运输安全培训,历年运输安全培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-2 培训记录/16-60-2-1 运输安全培训,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
仓库安全培训,历年仓库安全及消防演练培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-2 培训记录/16-60-2-2 仓库安全培训,关务,上传包括相关要求的仓库安全管理手册以及运输规范文件，上传即为通过,,上传即为通过,,,,,否
制度,各类应急预案与操作规范,四、贸易安全标准/16.海关业务和贸易安全培训/16-61 危机管理培训/16-61-1 制度,关务,上传包括相关规定的仓库安全管理手册、运输过程各种应急预案文件、自然灾害和突发事件的应急预案对策手册、救援预案、运输操作规范文件，上传即为通过,,上传即为通过,,,,,否
制度,历年仓库安全管理手册,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-1 制度,关务,上传包括相关规定的仓库安全管理手册、运输过程各种应急预案文件、自然灾害和突发事件的应急预案对策手册、救援预案、运输操作规范文件，上传即为通过,,上传即为通过,,,,,否
运输安全培训,历年运输安全培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-60 货物安全培训/16-60-2 培训记录/16-60-2-1 运输安全培训,关务,上传包括相关规定的仓库安全管理手册、运输过程各种应急预案文件、自然灾害和突发事件的应急预案对策手册、救援预案、运输操作规范文件，上传即为通过,,上传即为通过,,,,,否
仓库安全培训,历年仓库安全培训及消防演练记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-61 危机管理培训/16-61-2 培训记录/16-61-2-2 仓库安全培训,关务,上传包括相关规定的仓库安全管理手册、运输过程各种应急预案文件、自然灾害和突发事件的应急预案对策手册、救援预案、运输操作规范文件，上传即为通过,,上传即为通过,,,,,否
制度,公司信息安全管理手册,四、贸易安全标准/16.海关业务和贸易安全培训/16-62 信息安全培训/16-62-1 制度,关务,上传包括对应规定的IT信息安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
制度,IT信息安全管理手册,四、贸易安全标准/16.海关业务和贸易安全培训/16-62 信息安全培训/16-62-1 制度,关务,上传包括对应规定的IT信息安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
培训记录,历年公司定期网络培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-62 信息安全培训/16-62-2 培训记录,关务,上传包括对应规定的IT信息安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
培训记录,历年信息安全培训记录,四、贸易安全标准/16.海关业务和贸易安全培训/16-62 信息安全培训/16-62-2 培训记录,关务,上传包括对应规定的IT信息安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
内部审计制度,历年内部审核制度,一、内部控制标准/4.内部审计和改进/4-10 内部审计制度,审计部,上传对应年份内部审核制度文件，上传即为通过。,,上传即为通过,,,,,否
内审记录报告,历年AEO内审报告,一、内部控制标准/4.内部审计和改进/4-11 内审记录报告,审计部,上传对应年份每年的内审报告文件，上传即为通过,,上传即为通过,,,,,否
改进和责任追究机制,报告流程-关联系合作机制,一、内部控制标准/4.内部审计和改进/4-12 改进和责任追究机制,审计部,上传内部改进机制相关文档，包括：改进机制文档、不合格报告格式文档、纠正措施记录格式文档，以及责任追究制度文档、关企联系合作机制文档，上传即为通过,,上传即为通过,,,,,否
改进和责任追究机制,责任追究制度-员工手册实施细则,一、内部控制标准/4.内部审计和改进/4-12 改进和责任追究机制,审计部,上传内部改进机制相关文档，包括：改进机制文档、不合格报告格式文档、纠正措施记录格式文档，以及责任追究制度文档、关企联系合作机制文档，上传即为通过,,上传即为通过,,,,,否
内审改进机制,AEO纠正措施记录,一、内部控制标准/4.内部审计和改进/4-12 改进和责任追究机制/4-12-1 内审改进机制,审计部,上传内部改进机制相关文档，包括：改进机制文档、不合格报告格式文档、纠正措施记录格式文档，以及责任追究制度文档、关企联系合作机制文档，上传即为通过,,上传即为通过,,,,,否
内审改进机制,改进机制文件,一、内部控制标准/4.内部审计和改进/4-12 改进和责任追究机制/4-12-1 内审改进机制,审计部,上传内部改进机制相关文档，包括：改进机制文档、不合格报告格式文档、纠正措施记录格式文档，以及责任追究制度文档、关企联系合作机制文档，上传即为通过,,上传即为通过,,,,,否
内审改进机制,AEO内部审核不合格报告,一、内部控制标准/4.内部审计和改进/4-12 改进和责任追究机制/4-12-1 内审改进机制,审计部,上传内部改进机制相关文档，包括：改进机制文档、不合格报告格式文档、纠正措施记录格式文档，以及责任追究制度文档、关企联系合作机制文档，上传即为通过,,上传即为通过,,,,,否
货物、物品安全管理制度,运输部操作规范,四、贸易安全标准/13.货物、物品安全/13-42 货物、物品安全管理制度,审计部,上传仓储操作规范和运输操作规范的制度文件，上传即为通过,,上传即为通过,,,,,否
货物、物品安全管理制度,仓储操作规范,四、贸易安全标准/13.货物、物品安全/13-42 货物、物品安全管理制度,审计部,上传仓储操作规范和运输操作规范的制度文件，上传即为通过,,上传即为通过,,,,,否
集装箱七点检查法,制度文件夹,四、贸易安全标准/13.货物、物品安全/13-43 集装箱七点检查法,审计部,上传包含相关要求的仓库安全管理手册制度文件，七点检查法监控截屏文件，以及七点检查法抽查记录文件，上传即为通过,,上传即为通过,,,,,否
集装箱七点检查法,检查法监控截屏文件夹,四、贸易安全标准/13.货物、物品安全/13-43 集装箱七点检查法,审计部,上传包含相关要求的仓库安全管理手册制度文件，七点检查法监控截屏文件，以及七点检查法抽查记录文件，上传即为通过,,上传即为通过,,,,,否
集装箱七点检查法,检查法记录抽查文件夹,四、贸易安全标准/13.货物、物品安全/13-43 集装箱七点检查法,审计部,上传包含相关要求的仓库安全管理手册制度文件，七点检查法监控截屏文件，以及七点检查法抽查记录文件，上传即为通过,,上传即为通过,,,,,否
集装箱封条,制度文件夹,四、贸易安全标准/13.货物、物品安全/13-44 集装箱封条,审计部,上传包含相关规定的仓储安全管理手册和操作规范文件，封条使用记录文件，以及封条ISO17712认证文件，上传即为通过,,上传即为通过,,,,,否
集装箱封条,封条使用记录文件夹,四、贸易安全标准/13.货物、物品安全/13-44 集装箱封条,审计部,上传包含相关规定的仓储安全管理手册和操作规范文件，封条使用记录文件，以及封条ISO17712认证文件，上传即为通过,,上传即为通过,,,,,否
集装箱封条,封志ISO17712文件,四、贸易安全标准/13.货物、物品安全/13-44 集装箱封条,审计部,上传包含相关规定的仓储安全管理手册和操作规范文件，封条使用记录文件，以及封条ISO17712认证文件，上传即为通过,,上传即为通过,,,,,否
集装箱存储制度,集装箱管理制度,四、贸易安全标准/13.货物、物品安全/13-45 集装箱存储制度,审计部,上传包括相关规定的集装箱管理制度、运输操作规范和仓库安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
集装箱存储制度,运输部操作规范,四、贸易安全标准/13.货物、物品安全/13-45 集装箱存储制度,审计部,上传包括相关规定的集装箱管理制度、运输操作规范和仓库安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
集装箱存储制度,历年仓库安全管理手册,四、贸易安全标准/13.货物、物品安全/13-45 集装箱存储制度,审计部,上传包括相关规定的集装箱管理制度、运输操作规范和仓库安全管理手册文件，上传即为通过,,上传即为通过,,,,,否
司机身份核实,司机提货流程及身份检查文件,四、贸易安全标准/13.货物、物品安全/13-46 司机身份核实,审计部,上传司机提货流程及身份检查规定文件、所有运输车辆信息表、提送货车辆登记抽查表，上传即为通过,,上传即为通过,,,,,否
司机身份核实,车辆信息表文件夹,四、贸易安全标准/13.货物、物品安全/13-46 司机身份核实,审计部,上传司机提货流程及身份检查规定文件、所有运输车辆信息表、提送货车辆登记抽查表，上传即为通过,,上传即为通过,,,,,否
司机身份核实,提送货车辆登记表抽查文件夹,四、贸易安全标准/13.货物、物品安全/13-46 司机身份核实,审计部,上传司机提货流程及身份检查规定文件、所有运输车辆信息表、提送货车辆登记抽查表，上传即为通过,,上传即为通过,,,,,否
车辆信息表,车辆信息表（按车牌/公司名）,四、贸易安全标准/13.货物、物品安全/13-46 司机身份核实/13-46-2 车辆信息表,审计部,上传司机提货流程及身份检查规定文件、所有运输车辆信息表、提送货车辆登记抽查表，上传即为通过,,上传即为通过,,,,,否
提送货车辆登记表抽查,历年提送货车辆登记表抽查记录,四、贸易安全标准/13.货物、物品安全/13-46 司机身份核实/13-46-3 提送货车辆登记表抽查,审计部,上传司机提货流程及身份检查规定文件、所有运输车辆信息表、提送货车辆登记抽查表，上传即为通过,,上传即为通过,,,,,否
制度,运输部操作规范,四、贸易安全标准/13.货物、物品安全/13-47 装运和接收货物物品/13-47-1 制度,审计部,上传包含相关规定运输操作规范、进出库操作手册文件，上传即为通过,,上传即为通过,,,,,否
制度,进出库操作手册,四、贸易安全标准/13.货物、物品安全/13-47 装运和接收货物物品/13-47-1 制度,审计部,上传包含相关规定运输操作规范、进出库操作手册文件，上传即为通过,,上传即为通过,,,,,否
抽查记录,历年收货清单、货物出库签收单、货物信息核对记录,四、贸易安全标准/13.货物、物品安全/13-47 装运和接收货物物品/13-47-2 抽查记录,审计部,上传包含相关规定运输操作规范、进出库操作手册文件，上传即为通过,,上传即为通过,,,,,否
货物、物品差异及报告程序,进出库操作手册,四、贸易安全标准/13.货物、物品安全/13-48 货物、物品差异及报告程序,审计部,上传包含相关规定的仓储操作规范文件和进出库操作手册文件,,上传即为通过,,,,,否
货物、物品差异及报告程序,仓储操作规范,四、贸易安全标准/13.货物、物品安全/13-48 货物、物品差异及报告程序,审计部,上传包含相关规定的仓储操作规范文件和进出库操作手册文件,,上传即为通过,,,,,否
出口安全制度,仓储操作规范,四、贸易安全标准/13.货物、物品安全/13-49 出口安全制度,审计部,上传包含相关规定的仓储操作规范文件，上传即为通过,,上传即为通过,,,,,否
商业伙伴安全管理制度,商业伙伴安全管理制度文件,四、贸易安全标准/15.商业伙伴安全/15-54 商业伙伴安全管理制度,审计部,上传包含相关规定的商业伙伴安全管理制度文件，上传即为通过,,上传即为通过,,,,,否
客户评估,评估和监测程序文件,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
客户评估,商业合作伙伴清单文件夹,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
客户评估,客户调查表文件夹,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
客户评估,客户评价表文件夹,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
客户评估,贸易安全考评表,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
商业合作伙伴清单,历年商业合作伙伴清单,四、贸易安全标准/15.商业伙伴安全/15-55 全面评估/15-55-1 客户/15-55-1-2 商业合作伙伴清单,审计部,上传与客户有关的评估和监测程序文件、商业合作伙伴清单、客户调查表、客户评价表、贸易安全考评表文件，上传即为通过<br>上传供应商相关的商业伙伴清单、供应商评价表、贸易安全考评表、企业资信评估表文件，上传即为通过,,上传即为通过,,,,,否
